province_id,province,year,gdp,ln_gdp,gdp_idx,gdp_per_cap,sec_ind_share,urban_rate,pop_thous,pop65_thous,aging_rate,emp_total_10k,emp_urban_unit_10k,emp_private_10k,pub_emp_share,fai_bn,ln_fai_bn,fai_growth_pct,trade_bn_cny,ln_trade_bn_cny,trade_openness,tax_rev_bn,ln_tax_rev_bn,macro_tax_burden,patent_apps,ln_patent_apps,pub_tech_staff,ln_pub_tech_staff
1,北京,2016,28438.7,10.255506,,156842.6,19.26,86.76,18132.0,2129.0,11.7417,,791.5,1046.74,,7943.89,8.980158,,18649.0,9.833548,65.5761,4452.97,8.401327,15.6581,104643.0,11.55831,414296.0,12.934336
1,北京,2017,31325.9,10.352201,,175978.32,19.01,86.93,17801.0,2225.0,12.4993,,812.9,1141.38,,8370.44,9.032462,,21943.71,9.996236,70.0497,4676.68,8.450344,14.9291,99167.0,11.504561,423939.0,12.957345
1,北京,2018,35161.4,10.467704,,198955.47,18.63,87.09,17673.0,1989.0,11.2545,,819.3,1202.42,,,,-15.5,27185.54,10.21044,77.3164,4988.83,8.514957,14.1884,117664.0,11.675588,,
1,北京,2019,37767.0,10.539191,,226611.06,16.2,87.35,16666.0,1909.0,11.4545,,791.3,1187.47,,,,-3.2,28689.71,10.264294,75.965,4822.98,8.481147,12.7704,129930.0,11.774751,,
1,北京,2020,38503.6,10.558507,,,15.8,87.55,,,,1164.0,739.9,,63.5653,,,3.4,23313.0,10.056766,60.5476,4643.87,8.443303,12.0609,145035.0,11.88473,,
1,北京,2021,44350.7,10.699884,,191290.49,18.05,87.5,23185.0,3300.0,14.2333,1158.0,759.5,,65.5872,,,11.2,30438.4,10.32346,68.6312,5164.64,8.549591,11.645,167608.0,12.029383,,
1,北京,2022,45222.4,10.719348,,202138.39,15.9,87.57,22372.0,3382.0,15.1171,1132.0,747.1,,65.9982,,,-7.1,36420.1,10.502876,80.5355,4867.07,8.490247,10.7625,189198.0,12.150549,,
1,北京,2023,47353.7,10.7654,,205724.65,14.9,87.83,23018.0,3650.0,15.8572,1129.0,755.6,,66.9265,,,4.0,36448.5,10.503656,76.9708,5357.09,8.586176,11.3129,205179.0,12.231638,,
1,北京,2024,49670.2,10.81316,105.2,221051.18,14.5,88.22,22470.0,3703.0,16.4798,1118.0,763.6,,68.3005,,,-4.7,36078.83,10.493462,72.6368,5473.16,8.607611,11.019,210052.0,12.25511,,
2,天津,2005,,,114.7,,55.5,75.11,,,,426.88,,114.17,,1495.14,7.309975,,4364.2759942265,8.381208,,331.85,5.804683,,4470.0,8.405144,247879.0,12.420696
2,天津,2006,3592.5,8.186604,114.6,37059.01,57.1,75.73,9694.0,1023.0,10.5529,562.92,,122.8,,1820.52,7.506877,,7124.5867032652,8.871307,198.3183,417.05,6.033206,11.6089,4981.0,8.513386,247307.0,12.418386
2,天津,2007,4229.8,8.34991,114.85,42742.52,57.3,76.31,9896.0,1074.0,10.8529,432.74,,135.3,,2353.15,7.76351,,5433.03769732,8.600254,128.4467,438.36,6.08304,10.3636,5364.0,8.587465,247584.0,12.419505
2,天津,2008,5278.3,8.571359,115.85,52188.06,60.1,77.23,10114.0,1242.0,12.28,503.14,200.6,129.32,39.8696,3389.79,8.128523,,5583.918461036,8.627646,105.7901,546.26,6.303095,10.3492,6281.0,8.745284,249716.0,12.42808
2,天津,2009,5828.6,8.670532,116.5,55653.59,53.0,78.01,10473.0,1156.0,11.0379,507.26,201.7,127.31,39.7626,4738.2,8.463413,,4360.31159454,8.380299,74.8089,614.27,6.420435,10.5389,6367.0,8.758884,250599.0,12.431609
2,天津,2010,6991.6,8.852465,116.95,,52.5,79.55,,,,520.78,205.7,140.61,39.4984,6278.09,8.744821,,5557.76288475,8.622951,79.492,776.65,6.65499,11.1083,7347.0,8.902047,239596.0,12.386709
2,天津,2011,8240.8,9.016853,116.9,71182.52,52.4,80.43,11577.0,1131.0,9.7694,,268.2,145.35,,7067.67,8.863286,,6676.8597450199995,8.806403,81.022,1004.51,6.912255,12.1895,10623.0,9.270777,254234.0,12.44601
2,天津,2012,9193.0,9.126198,115.1,77966.25,51.68,81.55,11791.0,1233.0,10.4571,,289.1,148.06,,7934.78,8.979011,,7299.413419999999,8.895549,79.4019,1105.56,7.008107,12.0261,13587.0,9.516869,256523.0,12.454974
2,天津,2013,10075.2,9.217832,113.15,82923.46,50.6,82.29,12150.0,1392.0,11.4568,,302.4,152.29,,9130.25,9.119348,,7958.372734416001,8.98198,78.9897,1310.66,7.178286,13.0088,21946.0,9.99634,262002.0,12.476107
2,天津,2014,10749.2,9.282587,111.25,85876.81,49.2,82.55,12517.0,1462.0,11.6801,,295.5,163.7,,10518.2,9.260862,,8224.354122240002,9.014855,76.5113,1486.88,7.304435,13.8325,23391.0,10.060107,262166.0,12.476733
2,天津,2015,10889.2,9.295527,110.0,,46.58,82.88,,,,,294.8,184.12,,11831.99,9.378562,,,,,1578.07,7.363958,14.4921,28510.0,10.25801,257232.0,12.457734
2,天津,2016,11487.0,9.348971,109.3,88049.98,42.33,83.27,13046.0,1482.0,11.3598,,286.0,209.65,,12779.39,9.455589,,6776.31,8.821188,58.9911,1624.22,7.392783,14.1396,38153.0,10.54936,259624.0,12.46699
2,天津,2017,12468.2,9.430937,109.1,97575.52,40.94,83.57,12778.0,1442.0,11.285,,269.5,237.42,,11288.92,9.331577,,7645.12,8.941823,61.317,1611.96,7.385206,12.9286,25652.0,10.152377,259727.0,12.467386
2,天津,2018,13411.1,9.503838,103.64,104823.35,40.46,83.95,12794.0,1397.0,10.9192,,260.0,205.48,,,,-9.8,8080.18,8.997169,60.2499,1624.89,7.393195,12.116,26661.0,10.190957,,
2,天津,2019,14097.2,9.553731,103.6,116553.95,35.2,84.31,12095.0,1461.0,12.0794,,269.4,226.47,,,,13.4,7346.07,8.901921,52.1101,1634.35,7.399,11.5934,24574.0,10.109444,,
2,天津,2020,14230.8,9.563164,104.8,,34.1,84.7,,,,647.0,255.3,,39.459,,,-5.1,7367.9,8.904888,51.7743,1500.14,7.313314,10.5415,22057.0,10.001385,,
2,天津,2021,16093.2,9.686152,101.5,110674.64,37.3,84.88,14541.0,2315.0,15.9205,641.0,256.4,,40.0,,,3.2,8567.4,9.05572,53.2361,1621.89,7.391347,10.0781,21370.0,9.969743,,
2,天津,2022,16588.5,9.716465,106.6,118837.31,37.0,85.11,13959.0,2374.0,17.0069,621.0,243.3,,39.1787,,,-22.1,8302.3,9.024288,50.0485,1346.94,7.205591,8.1197,21466.0,9.974226,,
2,天津,2023,17211.8,9.75335,101.0,119842.64,35.7,85.49,14362.0,2572.0,17.9084,635.0,219.0,,34.4882,,,3.3,8008.6,8.988271,46.5297,1579.13,7.364629,9.1747,24263.0,10.096708,,
2,天津,2024,17931.3,9.794303,104.7,127743.11,34.5,86.01,14037.0,2606.0,18.5652,634.0,226.0,,35.6467,,,1.1,8132.86,9.003668,45.3557,1621.25,7.390953,9.0415,27037.0,10.204962,,
3,河北,2005,,,113.4,,51.8,37.69,,,,3467.27,,511.67,,4139.69,8.328376,,1316.4351312761,7.182683,,515.7,6.245525,,1273.0,7.149132,994818.0,13.810315
3,河北,2006,10178.1,9.227994,113.4,15984.45,52.4,38.77,63675.0,5405.0,8.4884,3609.99,,532.21,,5470.24,8.607078,,2791.9087198327,7.934481,27.4305,620.53,6.430574,6.0967,1597.0,7.375882,1004491.0,13.819992
3,河北,2007,12317.6,9.418784,113.1,19397.49,52.8,40.25,63501.0,5626.0,8.8597,3567.18,,535.34,,6884.68,8.837054,,1940.8000964000003,7.570856,15.7563,618.3,6.426974,5.0196,2094.0,7.646831,1004636.0,13.820136
3,河北,2008,14403.8,9.575247,111.45,22870.07,54.2,41.9,62981.0,5504.0,8.7391,3651.66,501.0,557.91,13.7198,8866.56,9.090042,,2668.344437383,7.889213,18.5253,748.89,6.618592,5.1993,2380.0,7.774856,1026897.0,13.842052
3,河北,2009,15540.3,9.651192,110.05,24967.14,52.0,43.74,62243.0,5512.0,8.8556,3899.73,503.1,754.95,12.9009,12269.8,9.414896,,2023.8375841200002,7.612751,13.0232,839.33,6.732604,5.401,2811.0,7.941296,1039693.0,13.854436
3,河北,2010,18254.1,9.812145,111.1,,52.5,44.5,,,,3790.19,519.6,542.49,13.7091,15083.35,9.621347,,2847.2767471499997,7.954118,15.598,1074.04,6.979183,5.8838,3270.0,8.092545,1015463.0,13.830855
3,河北,2011,21711.7,9.985607,111.75,35097.56,53.5,45.59,61861.0,5053.0,8.1683,,555.4,626.17,,16389.33,9.704386,,3461.97073098,8.149593,15.9452,1348.51,7.206756,6.211,4651.0,8.444838,1031070.0,13.846108
3,河北,2012,23437.3,10.062084,110.45,38544.39,52.69,46.6,60806.0,5529.0,9.0929,,619.9,641.27,,19661.28,9.886406,,3191.792846875,8.068338,13.6184,1560.59,7.352819,6.6586,6108.0,8.717355,993313.0,13.808801
3,河北,2013,24659.1,10.112901,108.9,40747.39,52.2,48.02,60517.0,5547.0,9.166,,653.4,595.83,,23194.23,10.051659,,3400.7834151719994,8.131761,13.7912,1724.87,7.452907,6.9949,7329.0,8.899594,1052812.0,13.866975
3,河北,2014,25644.1,10.152069,107.35,42083.66,51.0,49.36,60936.0,5682.0,9.3245,,656.2,672.9,,26671.9,10.191366,,3678.14647008,8.210164,14.3431,1866.06,7.531585,7.2768,8332.0,9.027859,1047835.0,13.862237
3,河北,2015,26744.1,10.194069,106.5,,48.27,51.67,,,,,643.6,805.23,,29448.27,10.29039,,,,,1934.29,7.567496,7.2326,11259.0,9.328923,1033175.0,13.848147
3,河北,2016,28879.7,10.270894,106.8,46023.43,47.57,53.87,62750.0,6845.0,10.9084,,639.6,981.72,,31750.02,10.365649,,3078.23,8.03211,10.6588,1996.12,7.598961,6.9118,14141.0,9.556834,1042090.0,13.856739
3,河北,2017,31065.5,10.343853,106.8,50036.24,46.58,55.74,62086.0,7326.0,11.7998,,535.3,1120.1,,33406.8,10.416515,,3378.81,8.125279,10.8764,2199.35,7.695917,7.0797,13982.0,9.545526,1059455.0,13.873265
3,河北,2018,32947.0,10.402655,106.6,53220.15,44.54,57.33,61907.0,7854.0,12.6868,,550.3,1261.34,,,,3.8,3553.16,8.175593,10.7845,2555.82,7.846128,7.7574,18954.0,9.84977,,
3,河北,2019,35623.5,10.480761,106.6,60289.91,38.7,58.77,59087.0,7767.0,13.145,,576.0,1413.99,,,,5.7,4002.08,8.29457,11.2344,2630.73,7.875017,7.3848,20536.0,9.929935,,
3,河北,2020,36821.5,10.513837,106.8,,37.6,60.07,,,,3671.0,561.2,,15.2874,,,-1.1,4456.8,8.402186,12.1038,2527.28,7.834899,6.8636,22131.0,10.004735,,
3,河北,2021,41205.4,10.626325,103.9,52234.77,40.51,61.14,78885.0,11769.0,14.9192,3643.0,566.0,,15.5366,,,-2.4,5415.6,8.597039,13.1429,2735.73,7.914154,6.6393,23923.0,10.082596,,
3,河北,2022,43198.3,10.673556,106.5,56838.37,40.2,61.65,76002.0,11885.0,15.6377,3580.0,561.1,,15.6732,,,4.1,5500.7,8.612631,12.7336,2242.89,7.71552,5.1921,24182.0,10.093364,,
3,河北,2023,45660.0,10.728978,103.8,58654.27,37.4,62.77,77846.0,12640.0,16.2372,3623.0,554.7,,15.3105,,,-2.9,5828.4,8.670498,12.7648,2578.11,7.854812,5.6463,28929.0,10.2726,,
3,河北,2024,47448.1,10.767392,105.45,62478.57,36.8,63.42,75943.0,12498.0,16.4571,3614.0,567.9,,15.7139,,,9.9,6148.75,8.724004,12.9589,2551.16,7.844303,5.3767,29885.0,10.305112,,
4,山西,2005,,,112.6,,56.3,42.11,,,,1476.37,,164.55,,1826.58,7.510201,,454.28341244330005,6.118721,,368.34,5.909006,,610.0,6.413459,664541.0,13.406852
4,山西,2006,4758.7,8.46773,112.2,15261.05,57.8,43.01,31182.0,2178.0,6.9848,1561.2,,194.52,,2255.74,7.721233,,849.3320736259999,6.74445,17.848,583.38,6.368839,12.2592,965.0,6.872128,675520.0,13.423238
4,山西,2007,5991.9,8.698164,113.1,19285.78,60.0,44.03,31069.0,2268.0,7.2999,1550.1,,230.64,,2861.46,7.959087,,880.5038873200001,6.780494,14.6949,430.5,6.064947,7.1847,1212.0,7.100027,687679.0,13.441077
4,山西,2008,7295.8,8.895054,111.25,23703.82,61.5,45.11,30779.0,2424.0,7.8755,1583.46,375.2,259.25,23.6949,3531.16,8.169382,,999.7511037070001,6.907506,13.7031,566.49,6.339459,7.7646,2053.0,7.627057,717848.0,13.484013
4,山西,2009,7231.2,8.88616,106.75,23804.07,54.3,45.99,30378.0,2457.0,8.0881,1599.65,385.8,250.3,24.1178,4943.16,8.50576,,585.35057592,6.372211,8.0948,581.91,6.366316,8.0472,2422.0,7.792349,728478.0,13.498713
4,山西,2010,9004.5,9.10548,109.65,,56.9,48.05,,,,1665.08,394.4,290.36,23.6865,6063.17,8.709988,,851.347551375,6.74682,9.4547,692.71,6.540611,7.6929,3046.0,8.021585,733186.0,13.505155
4,山西,2011,11005.1,9.306114,113.45,35849.57,59.0,49.79,30698.0,2384.0,7.766,,409.7,317.9,,7073.06,8.864048,,952.224500928,6.858801,8.6526,872.88,6.771798,7.9316,4602.0,8.434246,738002.0,13.511702
4,山西,2012,11819.7,9.377523,111.55,39231.61,55.57,51.32,30128.0,2400.0,7.966,,436.0,386.2,,8863.26,9.08967,,949.5962556249998,6.856037,8.034,1045.22,6.951983,8.843,5417.0,8.597297,743943.0,13.51972
4,山西,2013,12171.8,9.406877,109.5,40630.9,53.9,52.88,29957.0,2388.0,7.9714,,464.0,425.24,,11031.89,9.308545,,977.966911428,6.885476,8.0347,1136.89,7.036052,9.3404,6025.0,8.703673,757435.0,13.537693
4,山西,2014,12307.0,9.417923,106.9,40877.54,49.3,54.3,30107.0,2566.0,8.5229,,452.1,472.0,,12354.5,9.421776,,997.1490526800001,6.9049,8.1023,1134.34,7.033806,9.217,6107.0,8.717191,759931.0,13.540983
4,山西,2015,12036.1,9.395666,104.9,,40.69,55.87,,,,,440.3,497.3,,14074.15,9.552095,,,,,1056.6,6.962811,8.7786,5680.0,8.644707,756631.0,13.536631
4,山西,2016,12160.1,9.405915,103.1,39340.34,38.54,57.27,30910.0,2688.0,8.6962,,430.6,553.39,,14197.98,9.560855,,1100.12,7.003175,9.047,1036.67,6.943769,8.5252,8208.0,9.012865,759968.0,13.541032
4,山西,2017,14679.1,9.59418,104.5,48049.43,43.65,58.59,30550.0,2746.0,8.9885,,428.7,592.03,,6040.54,8.706249,,1162.84,7.058621,7.9217,1397.43,7.24239,9.5199,7379.0,8.906393,752796.0,13.53155
4,山西,2018,16153.1,9.689867,107.1,52994.0,42.15,59.85,30481.0,3147.0,10.3245,,425.8,642.78,,,,13.1,1369.09,7.221902,8.4757,1645.67,7.405903,10.188,9395.0,9.147933,,
4,山西,2019,17311.0,9.759097,106.7,59668.41,43.8,61.29,29012.0,3190.0,10.9955,,441.1,693.26,,,,16.9,1447.94,7.277897,8.3643,1783.66,7.486423,10.3036,8424.0,9.03884,,
4,山西,2020,18202.7,9.809325,106.2,,43.5,62.53,,,,1738.0,442.6,,25.4661,,,15.6,1504.3,7.316083,8.2642,1625.99,7.393872,8.9327,9472.0,9.156095,,
4,山西,2021,23087.8,10.04706,103.6,62631.36,49.64,63.42,36863.0,5043.0,13.6804,1715.0,442.9,,25.8251,,,8.8,2230.3,7.709891,9.6601,2094.72,7.647175,9.0728,10059.0,9.216223,,
4,山西,2022,25653.2,10.152424,109.1,71948.39,54.0,63.96,35655.0,5163.0,14.4804,1672.0,438.3,,26.2141,,,4.4,1831.3,7.512781,7.1387,2696.55,7.899728,10.5116,9891.0,9.199381,,
4,山西,2023,26050.8,10.167804,104.4,71379.88,51.9,64.97,36496.0,5549.0,15.2044,1704.0,434.8,,25.5164,,,-9.6,1691.2,7.433194,6.4919,2557.05,7.84661,9.8156,11387.0,9.340228,,
4,山西,2024,25353.5,10.140672,103.65,71492.82,43.2,66.32,35463.0,5598.0,15.7855,1682.0,443.6,,26.3734,,,-2.6,1742.28,7.46295,6.872,2300.16,7.740734,9.0724,13598.0,9.517678,,
5,内蒙古,2005,,,123.8,,45.5,47.2,,,,1041.13,,150.48,,2643.6,7.879897,,399.4480825346001,5.990084,,277.46,5.625677,,307.0,5.726848,465517.0,13.050904
5,内蒙古,2006,4212.3,8.345764,121.4,18991.43,48.6,48.64,22180.0,1728.0,7.7908,1051.2,,161.41,,3363.21,8.120651,,745.0432760749001,6.613442,17.6873,343.38,5.838838,8.1518,430.0,6.063785,470959.0,13.062526
5,内蒙古,2007,5239.6,8.564,119.05,23745.13,51.8,50.15,22066.0,1802.0,8.1664,1081.53,,176.45,,4372.88,8.383177,,588.2366954,6.377129,11.2267,347.91,5.851944,6.64,565.0,6.336826,486148.0,13.094268
5,内蒙古,2008,6352.4,8.756588,118.15,29118.08,55.0,51.71,21816.0,1769.0,8.1087,1103.28,244.8,208.19,22.1884,5475.41,8.608022,,619.397562833,6.428747,9.7506,464.45,6.140854,7.3114,695.0,6.543912,492673.0,13.107601
5,内蒙古,2009,7227.0,8.885579,117.05,33615.52,52.5,53.4,21499.0,1818.0,8.4562,1142.47,245.8,234.26,21.5148,7336.79,8.900657,,462.73644846,6.137158,6.4029,576.83,6.357548,7.9816,719.0,6.577861,493000.0,13.108264
5,内蒙古,2010,8342.1,9.02907,115.95,,54.6,55.5,,,,1184.68,249.2,258.81,21.0352,8926.46,9.096775,,590.959816995,6.381748,7.0841,752.81,6.623813,9.0242,932.0,6.837333,482413.0,13.086556
5,内蒙古,2011,9610.8,9.170643,114.65,45327.55,56.0,57.04,21203.0,1461.0,6.8905,,262.4,301.53,,10365.17,9.246206,,770.5932275519999,6.647161,8.018,985.69,6.893342,10.2561,1267.0,7.144407,495875.0,13.114079
5,内蒙古,2012,10638.9,9.272272,112.9,51210.11,55.42,58.42,20775.0,1636.0,7.8748,,270.8,360.87,,11875.74,9.382253,,710.72323875,6.566283,6.6804,1119.87,7.020968,10.5262,1492.0,7.307873,499833.0,13.122029
5,内蒙古,2013,11584.9,9.357458,110.25,56201.91,54.0,59.82,20613.0,1762.0,8.548,,303.8,467.43,,14217.38,9.56222,,742.847833104,6.610491,6.4122,1215.2,7.102664,10.4895,1935.0,7.567863,497355.0,13.117059
5,内蒙古,2014,12377.3,9.423619,108.4,59877.61,51.3,60.97,20671.0,1929.0,9.3319,,301.5,522.7,,17591.8,9.775188,,894.1656249600001,6.795891,7.2242,1251.07,7.131754,10.1078,1924.0,7.562162,484318.0,13.090497
5,内蒙古,2015,13062.7,9.477516,107.8,,50.48,62.09,,,,,298.3,512.01,,13702.22,9.525313,,,,,1320.75,7.185955,10.1108,2254.0,7.720462,483173.0,13.08813
5,内蒙古,2016,13879.0,9.538132,107.7,65665.22,47.18,63.4,21136.0,1995.0,9.4389,,293.2,525.26,,15080.01,9.621125,,768.68,6.644675,5.5384,1335.88,7.197346,9.6252,2878.0,7.964851,486842.0,13.095695
5,内蒙古,2017,15009.9,9.616465,107.2,71993.38,39.76,64.6,20849.0,2260.0,10.8398,,280.6,588.63,,14013.16,9.547752,,940.86,6.846794,6.2683,1286.91,7.159999,8.5737,2845.0,7.953318,482269.0,13.086257
5,内蒙古,2018,16252.9,9.696027,104.0,78210.38,39.37,65.51,20781.0,2047.0,9.8503,,272.4,589.11,,,,-12.3,1034.66,6.941828,6.366,1399.86,7.244128,8.613,3757.0,8.231376,,
5,内蒙古,2019,17479.4,9.768778,105.3,88530.19,39.6,66.46,19744.0,2013.0,10.1955,,280.9,619.5,,,,10.4,1097.49,7.000781,6.2788,1539.69,7.339336,8.8086,4889.0,8.494743,,
5,内蒙古,2020,17623.4,9.776983,105.2,,39.6,67.48,,,,1242.0,270.6,,21.7874,,,5.6,1054.2,6.960537,5.9818,1457.76,7.284656,8.2717,5381.0,8.59063,,
5,内蒙古,2021,21584.8,9.979745,100.2,84919.35,45.7,68.21,25418.0,3518.0,13.8406,1218.0,267.7,,21.9787,,,7.2,1235.6,7.119312,5.7244,1671.05,7.421207,7.7418,5998.0,8.699181,,
5,内蒙古,2022,23795.7,10.07726,106.3,96750.15,48.5,68.6,24595.0,3613.0,14.69,1190.0,265.5,,22.3109,,,16.2,1506.6,7.317611,6.3314,2134.4,7.665941,8.9697,6676.0,8.806274,,
5,内蒙古,2023,25020.5,10.127451,104.2,99173.57,47.5,69.58,25229.0,3899.0,15.4544,1211.0,268.7,,22.1883,,,20.4,1960.0,7.5807,7.8336,2331.22,7.754147,9.3172,8248.0,9.017726,,
5,内蒙古,2024,26337.0,10.17873,106.55,107156.81,44.1,70.73,24578.0,3942.0,16.0387,1198.0,284.3,,23.7312,,,8.7,2074.88,7.637659,7.8782,2212.42,7.701842,8.4004,11625.0,9.360913,,
6,辽宁,2005,,,112.3,,49.4,58.7,,,,1978.6,,534.8,,4200.45,8.342947,,3359.6836371967,8.119602,,675.28,6.515127,,3267.0,8.091627,728761.0,13.499101
6,辽宁,2006,8489.3,9.046562,113.05,21639.26,51.1,58.99,39231.0,4155.0,10.5911,2128.1,,554.82,,5689.64,8.646402,,5753.1430514645,8.657502,67.7693,817.67,6.706459,9.6318,4368.0,8.382061,733177.0,13.505142
6,辽宁,2007,10422.8,9.251751,114.15,26509.65,53.1,59.2,39317.0,4181.0,10.6341,2071.26,,610.07,,7435.23,8.913985,,4522.4291938,8.416805,43.3898,815.67,6.70401,7.8258,5516.0,8.615408,715461.0,13.480682
6,辽宁,2008,12303.0,9.417598,113.8,31555.86,55.8,60.05,38988.0,4419.0,11.3343,2098.21,510.8,603.92,24.3446,10019.07,9.212246,,5030.603246899001,8.523295,40.8892,1017.1,6.924711,8.2671,6493.0,8.77848,719044.0,13.485678
6,辽宁,2009,13003.2,9.472951,113.1,33836.95,52.0,60.35,38429.0,4419.0,11.4991,2189.96,509.5,703.72,23.2653,12292.49,9.416744,,4299.04736118,8.366149,33.0615,1183.98,7.076637,9.1053,7125.0,8.871365,607800.0,13.317601
6,辽宁,2010,14105.8,9.554341,113.65,,54.1,62.1,,,,2238.09,518.1,717.28,23.1492,16043.03,9.68303,,5463.808858859999,8.605901,38.7345,1516.65,7.324259,10.752,9884.0,9.198673,636743.0,13.364121
6,辽宁,2011,16585.3,9.716272,113.2,44290.06,54.7,64.05,37447.0,4034.0,10.7726,,579.6,767.0,,17726.29,9.782804,,6202.763544388,8.73275,37.3992,1974.85,7.588248,11.9072,14658.0,9.592742,672184.0,13.418287
6,辽宁,2012,18127.6,9.805191,110.85,49500.56,53.25,65.65,36621.0,3639.0,9.9369,,598.7,806.99,,21836.28,9.991328,,6570.681060624999,8.790373,36.2468,2317.19,7.748111,12.7827,19740.0,9.890402,676610.0,13.42485
6,辽宁,2013,19534.3,9.879927,109.1,53915.98,52.7,66.45,36231.0,3701.0,10.215,,689.1,838.41,,25107.66,10.130928,,7089.863201148,8.866421,36.2944,2521.62,7.832657,12.9087,25292.0,10.138243,676668.0,13.424936
6,辽宁,2014,20381.5,9.922383,107.25,56246.55,50.2,67.05,36236.0,4407.0,12.1619,,665.2,927.2,,24730.8,10.115805,,7002.685115280001,8.854049,34.358,2330.57,7.753868,11.4347,18417.0,9.821029,652207.0,13.388117
6,辽宁,2015,20657.8,9.935848,105.8,,45.49,68.05,,,,,618.4,890.36,,17917.89,9.793555,,,,,1650.45,7.408803,7.9895,19332.0,9.869517,639159.0,13.367909
6,辽宁,2016,20832.0,9.944246,103.0,56812.48,38.69,68.87,36668.0,4849.0,13.2241,,560.4,827.42,,6692.25,8.808705,,5711.86,8.6503,27.4187,1687.45,7.430974,8.1003,25561.0,10.148823,620499.0,13.338279
6,辽宁,2017,22105.4,10.003577,97.5,61456.81,39.3,69.49,35969.0,5063.0,14.076,,519.5,914.61,,6676.74,8.806385,,6748.92,8.817138,30.5306,1812.42,7.502418,8.199,20500.0,9.92818,657810.0,13.396671
6,辽宁,2018,24113.5,10.090527,104.2,67461.67,39.6,70.26,35744.0,5353.0,14.9759,,501.6,970.01,,,,3.2,7557.68,8.93032,31.3421,1976.13,7.588896,8.1951,25476.0,10.145492,,
6,辽宁,2019,25665.9,10.152919,105.7,75934.62,38.3,71.21,33800.0,5382.0,15.9231,,499.9,1037.82,,,,-2.7,7259.18,8.890022,28.2834,1929.52,7.565027,7.5178,22592.0,10.025351,,
6,辽宁,2020,25839.0,10.15964,105.5,,37.4,72.14,,,,2231.0,476.8,,21.3716,,,5.4,6569.2,8.790147,25.4236,1879.06,7.538527,7.2722,21830.0,9.99104,,
6,辽宁,2021,28471.0,10.256641,100.6,63555.6,39.43,72.81,44797.0,8424.0,18.8048,2190.0,458.0,,20.9132,,,-5.7,7724.0,8.952088,27.1294,1970.87,7.58623,6.9224,23078.0,10.046635,,
